MainTitle,Type,Genre,Weighted_Score,Themes,Summary
Angel Links,TV,"['action', 'drama', 'science fiction']",5.7417,"['pirates', 'space']","Li Meifon is the head of a free, no expenses paid protection/security agency for escorting ships across outer space. Though only 16, she possesses great skill and leadership qualities while commanding her crew aboard their ship, the <i>Angel Links</i>. However, some unpleasant memories begin to trouble her and she starts questioning her own past and reason for existence. Join Li Meifon and the rest of the <i>Angel Links</i> crew on their adventures through the Oracion star system as they battle pirates, government organizations, and a Tao master, all while finally uncovering Meifon's dark and mysterious past."
Apocalypse Zero,OAV,"['action', 'science fiction']",3.9002,"['demons', 'gore', 'post-apocalyptic']","Kakugo and Harara are two siblings who have been trained to fight demons, monsters, and other creatures that are now roaming about in the post-apocalyptic 21st century. Along with their superior fighting techniques and specialized skills, they were also given special suits called Zero armor, which were made from the souls of dead warriors. Unfortunately Harara succumbs to evil within the Zero armor, and Kakugo is the only human alive that has the skills and equipment to defeat his sibling."
Nasu: Summer in Andalusia,movie,['tournament'],7.2217,['sports'],"Pepe is a Spanish cyclist competing in a multi-stage Iberian cycling race similar to the Tour de France. He is a support rider for one of the teams competing in the race, and his role is to assist the team's top rider in winning the overall race. The racers are set to ride through Pepe's hometown in Andalusia on the same day of the wedding of his elder brother Angel to his former girlfriend Carmen."
Gatchaman,TV,"['action', 'adventure', 'drama', 'science fiction']",6.1496,"['mecha', 'sentai', 'Spy Thriller', 'terrorists']","A new threat appears all over the world in the form of the terrorist group known as the Galactor. To combat the forces of Galactor, well-renowned scientist Kouzaburou Nanbu unleashes the Science Ninja Team Gatchaman, a team of five young heroes skilled in the art of ninjutsu and dressed in unique bird-like costumes."
Battle Skipper,OAV,"['action', 'comedy', 'science fiction']",4.9043,"['mecha', 'school']",Three newcomers join the Etiquette club rather than the popular Debutante Club and soon discover its members are part of a secret task force called Exters. Fan service is a predominated feature in the transformation sequence.
Blood: The Last Vampire,movie,"['action', 'horror', 'mystery', 'supernatural', 'thriller']",6.7133,"['monsters', 'vampires']","Teropterids are evil beasts which pose as humans and live only to drink human blood. Fortunately for the human world there are groups dedicated to destroying them. A brooding and mysterious girl named Saya is the best teropterid slayer there is, and now, in 1960's Japan, she is sent to a U. S. army base which may be infested..."
Blue Seed,TV,"['action', 'comedy', 'horror', 'romance', 'science fiction', 'supernatural']",6.96,"['Demons', 'police']","Momiji is an average girl until the day she finds she is the descendant of the great Kushinada family. Only she, with her Kushinada blood, can stop the Aragami, demonic plant-like monsters threatening to destroy Japan. Along to help her is the TAC, and a possible love interest in a young man named Kusanagi."
Bondage Queen Kate,OAV,"['erotica', 'science fiction']",5.6624,No Theme Found,"Kate, the voluptuous, virginal new recruit of the Federal Space Army Security Police, is the newest detective in the force. She's eager to prove her worth as an undercover agent, but that might not be as easy as she thinks. Her first assignment is to track down the villains who have been raping young women from the hot desert planet, Doune."
"Ceres, Celestial Legend",TV,"['drama', 'horror', 'psychological', 'romance', 'supernatural']",7.1032,"['bishounen', 'love triangle', 'special abilities']","Ceres was a tennyo (Celestial maiden) who came down from the heavens to bathe in a stream. She hung her hagoromo (robe) on a tree nearby, which was her key to returning to the heavens. But the robe was stolen and the man who had stolen it forced her to become his wife, thus producing a family full of human and tennyo blood mixed. Now, in modern day time, Aya Mikage is a descendent of Ceres, and has quite an ammount tennyo blood. On her 16th birthday, she and her twin brother, Aki, are thrown a party. At the ""party"", Aya's grandpa plans to kill her, for she has tennyo powers unlike the rest of the family, and can actually become Ceres herself and destroy the Mikage family. Aya, however, can switch back, so this transformation happens quite frequently. With protector Yuuhi by her side, it is up to Aya to control Ceres and keep her from coming back, but her relationship with an ex-worker for her evil grandpa may be a distraction."
Cowboy Bebop,TV,"['action', 'drama', 'science fiction']",8.8954,"['bounty hunters', 'space', 'space western']","Spike Spiegel, a bounty Hunter with a dark past, lives on bounty to bounty, barely making it each time, or not making it at all. His partners Jet Black, Faye Valentine, Ed and Ein the dog all help him in his adventures from planet to planet."
